,tobs
0,77.0
1,77.0
2,80.0
3,80.0
4,75.0
5,73.0
6,78.0
7,77.0
8,78.0
9,80.0
10,80.0
11,78.0
12,78.0
13,78.0
14,73.0
15,74.0
16,80.0
17,79.0
18,77.0
19,80.0
20,76.0
21,79.0
22,75.0
23,79.0
24,78.0
25,79.0
26,78.0
27,78.0
28,76.0
29,74.0
30,77.0
31,78.0
32,79.0
33,79.0
34,77.0
35,80.0
36,78.0
37,78.0
38,78.0
39,77.0
40,79.0
41,79.0
42,79.0
43,79.0
44,75.0
45,76.0
46,73.0
47,72.0
48,71.0
49,77.0
50,79.0
51,78.0
52,79.0
53,77.0
54,79.0
55,77.0
56,78.0
57,78.0
58,78.0
59,78.0
60,77.0
61,74.0
62,75.0
63,76.0
64,73.0
65,76.0
66,74.0
67,77.0
68,76.0
69,76.0
70,74.0
71,75.0
72,75.0
73,75.0
74,75.0
75,71.0
76,63.0
77,70.0
78,68.0
79,67.0
80,77.0
81,74.0
82,77.0
83,76.0
84,76.0
85,75.0
86,76.0
87,75.0
88,73.0
89,75.0
90,73.0
91,75.0
92,74.0
93,75.0
94,74.0
95,75.0
96,73.0
97,75.0
98,73.0
99,73.0
100,74.0
101,70.0
102,72.0
103,70.0
104,67.0
105,67.0
106,69.0
107,70.0
108,68.0
109,69.0
110,69.0
111,66.0
112,65.0
113,68.0
114,62.0
115,75.0
116,70.0
117,69.0
118,76.0
119,76.0
120,74.0
121,73.0
122,71.0
123,74.0
124,74.0
125,72.0
126,71.0
127,72.0
128,74.0
129,69.0
130,67.0
131,72.0
132,70.0
133,64.0
134,63.0
135,63.0
136,62.0
137,70.0
138,70.0
139,62.0
140,62.0
141,63.0
142,65.0
143,69.0
144,77.0
145,70.0
146,74.0
147,69.0
148,72.0
149,71.0
150,69.0
151,71.0
152,71.0
153,72.0
154,72.0
155,69.0
156,70.0
157,66.0
158,65.0
159,69.0
160,68.0
161,68.0
162,68.0
163,59.0
164,60.0
165,70.0
166,73.0
167,75.0
168,64.0
169,59.0
170,59.0
171,62.0
172,68.0
173,70.0
174,73.0
175,79.0
176,75.0
177,65.0
178,70.0
179,74.0
180,70.0
181,70.0
182,71.0
183,71.0
184,71.0
185,69.0
186,61.0
187,67.0
188,65.0
189,72.0
190,71.0
191,73.0
192,72.0
193,77.0
194,73.0
195,67.0
196,62.0
197,64.0
198,67.0
199,66.0
200,81.0
201,69.0
202,66.0
203,67.0
204,69.0
205,66.0
206,68.0
207,65.0
208,74.0
209,69.0
210,72.0
211,73.0
212,72.0
213,71.0
214,76.0
215,77.0
216,76.0
217,74.0
218,68.0
219,73.0
220,71.0
221,74.0
222,75.0
223,70.0
224,67.0
225,71.0
226,67.0
227,74.0
228,77.0
229,78.0
230,67.0
231,70.0
232,69.0
233,69.0
234,74.0
235,78.0
236,71.0
237,67.0
238,68.0
239,67.0
240,76.0
241,69.0
242,72.0
243,76.0
244,68.0
245,72.0
246,74.0
247,70.0
248,67.0
249,72.0
250,60.0
251,65.0
252,75.0
253,70.0
254,75.0
255,70.0
256,79.0
257,75.0
258,70.0
259,67.0
260,74.0
261,70.0
262,75.0
263,76.0
264,77.0
265,74.0
266,74.0
267,74.0
268,69.0
269,68.0
270,76.0
271,74.0
272,71.0
273,71.0
274,74.0
275,74.0
276,74.0
277,74.0
278,80.0
279,74.0
280,72.0
281,75.0
282,80.0
283,76.0
284,76.0
285,77.0
286,75.0
287,75.0
288,75.0
289,75.0
290,72.0
291,74.0
292,74.0
293,74.0
294,76.0
295,74.0
296,75.0
297,73.0
298,79.0
299,75.0
300,72.0
301,72.0
302,74.0
303,72.0
304,72.0
305,77.0
306,71.0
307,73.0
308,76.0
309,77.0
310,76.0
311,76.0
312,79.0
313,81.0
314,76.0
315,78.0
316,77.0
317,74.0
318,75.0
319,78.0
320,78.0
321,69.0
322,72.0
323,74.0
324,74.0
325,76.0
326,80.0
327,80.0
328,76.0
329,76.0
330,76.0
331,77.0
332,77.0
333,77.0
334,82.0
335,75.0
336,77.0
337,75.0
338,76.0
339,81.0
340,82.0
341,81.0
342,76.0
343,77.0
344,82.0
345,83.0
346,77.0
347,77.0
348,77.0
349,76.0
350,76.0
351,79.0
